Wild Lifespan,Gene(s),Mutant Lifespan
20.7,akt-1,32.2
16.6,sgk-1,15.9
20.3,akt-1,24.1
18.7,hcf-1,20.6
18.7,hcf-1,20.6
18.7,hcf-1,20.6
16.5,hsf-1,13.5
18.0,hsf-1,14.9
17.2,hsf-1,13.1
18.5,hsb -1,29.6
18.8,hsb -1,31.1
19.0,hsb -1,29.1
18.2,hsb -1,30.8
19.5,hsb -1,27.8
17.1,hsb -1,26.6
16.8,ddl-1,22.3
13.05,ddr-2,13.04
15.97,ddr-2,16.64
14.04,ddr-2,14.79
18.56,ddr-2,18.87
19.02,ddr-2,20.11
17.22,ddr-2,17.14
16.56,ddr-2,17.06
17.22,ddr-2,17.14
16.56,ddr-2,17.06
16.49,pha-4,14.7
14.04,pha-4,16.58
17.41,sams-1,16.1
18.44,sams-1,17.33
18.76,rab-10,16.59
21.68,rab-10,17.98
21.68,sams-1,17.83
12.0,age-1;fer-15,24.0
12.0,daf-2,29.0
19.0,daf-2,39.0
12.0,age-1;fer-15,27.0
19.0,daf-2,39.0
14.0,age-1;fer-15,23.0
25.0,age-1;fer-15,31.0
14.69,npr-1,16.2
14.31,npr-1,16.32
14.89,npr-1,17.74
14.39,npr-1,16.11
14.69,gcy-35;npr-1,20.24
14.31,gcy-35;npr-1,23.61
14.89,gcy-35;npr-1,22.54
14.39,gcy-35;npr-1,20.06
13.73,npr-1,18.49
13.44,npr-1,17.95
14.43,npr-1,14.7
13.44,npr-1,15.15
13.73,npr-1,15.21
13.76,npr-1,15.54
13.32,npr-1,13.72
12.57,npr-1,15.2
16.34,npr-1,16.94
15.36,npr-1,16.97
15.43,npr-1,18.77
13.76,npr-1,15.54
13.32,npr-1,13.72
12.57,npr-1,15.2
16.34,npr-1,16.94
15.36,npr-1,16.97
13.76,gcy-35;npr-1,19.26
13.32,gcy-35;npr-1,18.43
12.57,gcy-35;npr-1,22.46
10.36,npr-1,12.32
11.54,npr-1,12.17
12.38,npr-1,12.78
14.73,npr-1,19.18
13.53,npr-1,17.69
14.15,npr-1,13.35
19.74,npr-1,19.76
20.49,npr-1,21.4
21.8,npr-1,22.43
17.53,npr-1,20.69
18.19,npr-1,24.97
20.73,npr-1,20.74
13.85,npr-1,15.18
13.51,npr-1,16.48
13.26,npr-1,15.0
13.85,gcy-35;npr-1,18.69
13.51,gcy-35;npr-1,18.65
13.26,gcy-35;npr-1,18.81
13.85,npr-1,15.18
13.51,npr-1,16.48
13.26,npr-1,15.0
13.85,daf-16;npr-1,16.03
13.51,daf-16;npr-1,13.86
13.26,daf-16;npr-1,14.0
13.85,daf-2,30.82
13.51,daf-2,31.39
13.26,daf-2,31.68
13.85,daf-2,30.82
13.51,daf-2,31.39
13.26,daf-2,31.68
14.69,npr-1,16.03
15.41,npr-1,18.78
14.03,npr-1,14.07
13.67,npr-1,16.23
13.48,npr-1,14.12
14.69,npr-1,16.03
14.21,npr-1,18.78
13.27,npr-1,14.07
14.69,gcy-35;npr-1,22.13
14.21,gcy-35;npr-1,23.08
13.27,gcy-35;npr-1,21.97
13.48,npr-1,14.07
15.41,npr-1,16.23
14.03,npr-1,14.12
13.48,gcy-35;npr-1,21.97
15.41,gcy-35;npr-1,20.59
14.03,gcy-35;npr-1,22.1
31.0,daf-2,49.0
31.0,daf-2,49.0
14.7,sgk-1,24.0
14.7,sgk-1,24.0
17.5,sgk-1,21.1
14.7,akt-1,15.5
14.7,akt-1;akt-2,17.5
14.7,daf-16,11.4
18.7,trpa-1,23.8
18.7,trpa-1,21.1
22.8,trpa-1,25.0
19.8,daf-16,14.8
19.8,daf-16,14.8
19.9,daf-16,17.1
19.9,daf-16,17.1
19.6,sgk-1,15.6
19.6,sgk-1,15.6
19.7,sgk-1,17.4
19.7,sgk-1,17.4
20.4,sgk-1,25.8
19.8,sgk-1,24.4
21.6,skn-1,16.4
21.6,skn-1,16.4
21.37,pha-4,14.13
21.37,pha-4,14.13
21.25,hsf-1,11.6
21.25,hsf-1,11.6
15.35,cmk-1,16.42
15.35,cmk-1,16.42
19.65,unc-43,19.31
18.66,trpa-1,17.3
27.18,trpa-1,23.75
20.0,trpa-1,17.0
14.37,trpa-1,15.2
20.66,akt-1,26.0
18.18,akt-2,25.75
19.33,jnk-1,15.77
20.55,trpa-1,17.5
20.55,pkc-2,16.66
21.09,daf-2,41.09
21.09,daf-2,41.09
10.2,vang-1,14.3
10.2,vang-1,14.3
21.4,vang-1,25.6
10.2,vang-1,14.3
12.8,rrf-1,12.9
17.3,sea-2,20.1
17.3,sea-2,20.1
17.3,sea-2;daf-2,36.7
20.9,daf-9,27.7
23.9,daf-9,28.4
22.8,daf-9,33.8
12.6,daf-15; dpy-20,16.4
12.6,daf-15; dpy-20,16.4
17.39,mdl-1,26.6
17.39,mxl-1,24.5
13.5,mxl-1,24.5
13.5,daf-16,15.0
13.5,mxl-2,14.2
13.5,daf-16,15.0
14.8,daf-2,46.0
14.8,daf-2,46.0
20.0,daf-2,46.0
20.0,mxl-1,24.8
20.0,mxl-1;daf-2,65.0
17.85,mxl-1,24.64
17.85,mxl-2,12.14
20.0,eat-2,30.0
20.0,eat-2,30.0
20.0,eat-2,30.0
20.0,eat-2,30.0
20.0,eat-2,30.0
20.0,eat-2,30.0
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
12.67,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
11.73,rrf-3;daf-16,10.25
17.1,hlh-30,17.1
18.7,hlh-30,16.7
21.6,hlh-30,19.5
14.4,hlh-30,15.7
16.0,hlh-30,16.0
19.2,hlh-30,20.5
17.6,hlh-30,18.8
14.16,glp-1,21.11
17.5,glp-1,25.9
16.8,glp-1,24.8
16.1,glp-1,22.0
17.42,glp-1,17.42
16.7,glp-1,19.4
17.9,glp-1,17.3
15.8,glp-1,20.5
17.22,rsks-1,20.83
17.9,rsks-1,21.5
17.3,rsks-1,21.4
15.4,rsks-1,20.8
16.3,clk-1,24.6
14.4,isp-1,25.7
15.3,clk-1,21.4
15.8,isp-1,23.7
16.3,clk-1,24.6
14.4,isp-1,25.7
14.4,clk-1,17.9
16.3,isp-1,26.3
15.3,clk-1,21.4
15.8,isp-1,23.7
18.1,clk-1,33.0
18.1,isp-1,25.4
16.8,cyc-1,31.9
19.6,cco-1,30.3
15.3,daf-1,40.9
15.8,eat-2,27.5
15.3,osm-5,21.5
15.3,glp-1,21.6
15.3,clk-1,21.4
15.3,isp-1,23.7
15.3,clk-1,21.4
15.3,isp-1,25.7
23.6,ifg-1,29.0
23.6,ifg-1,29.0
22.9,ifg-1,28.3
23.6,ifg-1,29.0
22.6,ifg-1,27.2
22.6,ifg-1,27.2
19.7,aak-2,15.7
25.4,daf-16,15.6
20.3,ifg-1,27.8
20.3,ifg-1,27.8
20.3,ifg-1,27.8
20.3,ifg-1,27.8
20.3,ifg-1,27.8
20.3,ifg-1,27.8
20.3,ifg-1,27.8
20.3,ifg-1,27.8
20.3,ifg-1,27.8
20.3,daf-16,13.1
20.3,daf-16,13.1
20.3,daf-16,13.1
20.3,daf-16,13.1
20.3,daf-16,13.1
20.3,daf-16,13.1
20.3,daf-16,13.1
20.3,daf-16,13.1
20.3,daf-16,13.1
20.3,aak-2,17.1
20.3,aak-2,17.1
20.3,aak-2,17.1
20.3,aak-2,17.1
20.3,aak-2,17.1
20.3,aak-2,17.1
20.3,aak-2,17.1
20.3,aak-2,17.1
20.3,aak-2,17.1
20.3,rsks-1,28.1
20.3,rsks-1,28.1
20.3,rsks-1,28.1
20.3,rsks-1,28.1
20.3,rsks-1,28.1
20.3,rsks-1,28.1
20.3,daf-2,49.9
20.3,daf-2,49.9
20.3,daf-2,49.9
20.3,daf-2,49.9
20.3,daf-2,49.9
20.3,daf-2,49.9
20.3,daf-2,49.9
20.3,daf-2,49.9
20.3,isp-1,29.3
20.3,isp-1,29.3
20.3,isp-1,29.3
20.3,isp-1,29.3
20.3,isp-1,29.3
20.3,isp-1,29.3
20.3,isp-1,29.3
