Gene(s),Wild Lifespan,Mutant Lifespan,Percent Change
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
rrf-3;daf-16,11.73,10.25,-12.617
hlh-30,17.1,17.1,0.0
hlh-30,18.7,16.7,-10.695
hlh-30,21.6,19.5,-9.722
hlh-30,14.4,15.7,9.028
hlh-30,16.0,16.0,0.0
hlh-30,19.2,20.5,6.771
hlh-30,17.6,18.8,6.818
glp-1,14.16,21.11,49.082
glp-1,17.5,25.9,48.0
glp-1,16.8,24.8,47.619
glp-1,16.1,22.0,36.646
glp-1,17.42,17.42,0.0
glp-1,16.7,19.4,16.168
glp-1,17.9,17.3,-3.352
glp-1,15.8,20.5,29.747
rsks-1,17.22,20.83,20.964
rsks-1,17.9,21.5,20.112
rsks-1,17.3,21.4,23.699
rsks-1,15.4,20.8,35.065
clk-1,16.3,24.6,50.92
isp-1,14.4,25.7,78.472
clk-1,15.3,21.4,39.869
isp-1,15.8,23.7,50.0
clk-1,16.3,24.6,50.92
isp-1,14.4,25.7,78.472
clk-1,14.4,17.9,24.306
isp-1,16.3,26.3,61.35
clk-1,15.3,21.4,39.869
isp-1,15.8,23.7,50.0
clk-1,18.1,33.0,82.32
isp-1,18.1,25.4,40.331
cyc-1,16.8,31.9,89.881
cco-1,19.6,30.3,54.592
daf-1,15.3,40.9,167.32
eat-2,15.8,27.5,74.051
osm-5,15.3,21.5,40.523
glp-1,15.3,21.6,41.176
clk-1,15.3,21.4,39.869
isp-1,15.3,23.7,54.902
clk-1,15.3,21.4,39.869
isp-1,15.3,25.7,67.974
ifg-1,23.6,29.0,22.881
ifg-1,23.6,29.0,22.881
ifg-1,22.9,28.3,23.581
ifg-1,23.6,29.0,22.881
ifg-1,22.6,27.2,20.354
ifg-1,22.6,27.2,20.354
aak-2,19.7,15.7,-20.305
daf-16,25.4,15.6,-38.583
ifg-1,20.3,27.8,36.946
ifg-1,20.3,27.8,36.946
ifg-1,20.3,27.8,36.946
ifg-1,20.3,27.8,36.946
ifg-1,20.3,27.8,36.946
ifg-1,20.3,27.8,36.946
ifg-1,20.3,27.8,36.946
ifg-1,20.3,27.8,36.946
ifg-1,20.3,27.8,36.946
daf-16,20.3,13.1,-35.468
daf-16,20.3,13.1,-35.468
daf-16,20.3,13.1,-35.468
daf-16,20.3,13.1,-35.468
daf-16,20.3,13.1,-35.468
daf-16,20.3,13.1,-35.468
daf-16,20.3,13.1,-35.468
daf-16,20.3,13.1,-35.468
daf-16,20.3,13.1,-35.468
aak-2,20.3,17.1,-15.764
aak-2,20.3,17.1,-15.764
aak-2,20.3,17.1,-15.764
aak-2,20.3,17.1,-15.764
aak-2,20.3,17.1,-15.764
aak-2,20.3,17.1,-15.764
aak-2,20.3,17.1,-15.764
aak-2,20.3,17.1,-15.764
aak-2,20.3,17.1,-15.764
rsks-1,20.3,28.1,38.424
rsks-1,20.3,28.1,38.424
rsks-1,20.3,28.1,38.424
rsks-1,20.3,28.1,38.424
rsks-1,20.3,28.1,38.424
rsks-1,20.3,28.1,38.424
daf-2,20.3,49.9,145.813
daf-2,20.3,49.9,145.813
daf-2,20.3,49.9,145.813
daf-2,20.3,49.9,145.813
daf-2,20.3,49.9,145.813
daf-2,20.3,49.9,145.813
daf-2,20.3,49.9,145.813
daf-2,20.3,49.9,145.813
isp-1,20.3,29.3,44.335
isp-1,20.3,29.3,44.335
isp-1,20.3,29.3,44.335
isp-1,20.3,29.3,44.335
isp-1,20.3,29.3,44.335
isp-1,20.3,29.3,44.335
isp-1,20.3,29.3,44.335
