chimera,chimera_block_ID,Peak_red_mean,Peak_red_SD,Steady_state_red_mean,Steady_state_red_SD,Peak_green_mean,Peak_green_SD,Steady_state_green_mean,Steady_state_green_SD,Peak_cyan_mean,Peak_cyan_SD,Steady_state_cyan_mean,Steady_state_cyan_SD
n25,n1022011211,-8.596934001,1.920828396,0.070994059,2.141477596,-88.52886963,11.0607047,-76.67336019,12.45294153,-179.1800461,51.3808344,-168.9637909,51.1877748
n36,n1000000000,-8.540664037,1.958503302,0.182439168,1.702238656,-25.67666372,7.741139364,-13.08197149,7.86426209,-469.0010325,338.0752189,-378.4123942,272.0825199
n38,n0010000000,-9.81674099,2.065663118,-0.504770676,0.321240847,-48.02004814,18.54000137,-36.3102932,21.03849628,-260.8707581,109.436112,-173.6184196,73.94277725
n39,n0001000000,-9.626533508,0.207038879,-1.605964661,0.222114563,-371.8701833,85.68214012,-353.22907,83.11840549,-1034.604065,524.5147783,-925.8928223,501.8942978
n40,n0000100000,-9.399009705,1.380232394,-0.496544647,1.038939377,-158.7481415,42.18049347,-143.0610809,39.82669953,-1181.395251,388.8665457,-727.2511292,201.1091099
n41,n0000010000,-10.15100975,2.031665689,-0.135973358,0.428801529,-245.616626,57.90387697,-235.9768311,57.29001777,-1028.387065,482.1080649,-903.3036499,347.0547966
n42,n0000000100,-10.22410965,2.288198103,-1.86247927,2.337872528,-46.62686882,25.98149935,-37.20714226,26.31076991,-610.7690369,120.8330095,-202.5720703,104.1392293
n43,n0000000010,-9.394215266,1.480188871,-0.035573324,0.191052235,-14.07074865,3.533763535,-2.324452718,1.327238563,-92.86983236,44.16846203,-49.27197011,30.25990299
n45,n2000000000,-9.557720184,2.085681233,-0.382281494,0.605512333,-53.29519629,19.83672612,-44.24508882,20.15903112,-741.2761507,541.3841616,-463.6088376,329.4520284
n48,n0002000000,-7.787841082,0.474844253,-0.328368962,0.200527696,-169.4624176,59.73587809,-160.4491165,59.92185855,-1245.72167,364.2130119,-1023.766408,301.0675108
n51,n0000002000,-9.535522461,1.266231476,-1.237550259,1.209761111,-37.76019335,17.33555967,-29.35895109,17.434787,-650.3562889,270.7917122,-527.1899719,231.6876197
n52,n0000000200,-8.456632137,0.33368063,0.165253669,0.00244233,-14.00570297,0.454774857,-5.140348434,0.320009232,-30.51682472,2.208378836,-21.4597229,1.962956476
n57,n2202222222,-14.12685776,2.999346453,-5.30034771,2.666135971,-25.66754591,11.72829114,-16.21146166,11.36375902,-38.4731532,17.98178013,-28.33371613,18.30955161
n58,n2220222222,-108.6052933,6.220466614,-72.03839874,3.682731628,-141.0648753,62.26492808,-130.1749624,62.07402435,-119.3887533,20.93571887,-108.7673442,20.51355925
n59,n2222022222,-241.4243415,120.20631,-143.750303,85.29918121,-345.6910881,228.0524078,-284.6758495,192.2965263,-232.6286052,170.0937123,-201.5370159,147.4217651
n60,n2222202222,-170.5369385,73.19102264,-152.0635681,67.58638575,-291.2965332,139.1459499,-271.1241394,132.3544545,-165.247139,59.77076662,-151.1947403,54.04055731
n63,n2222222202,-50.24160099,24.68876375,-40.82128048,24.78502328,-126.7659622,54.57502913,-111.9587601,54.50778119,-170.3021988,68.46628721,-145.3460281,63.20742231
n64,n2222222220,-28.34658432,5.722995126,-12.88531208,3.356211147,-62.93503284,19.75633282,-51.96928024,18.354725,-39.53532066,12.04059842,-29.92021179,11.57292377
n65,n1222222222,-319.664732,192.6437367,-220.8408127,140.4493896,-463.836232,329.4219162,-393.6407532,286.0782623,-346.8787947,205.9133789,-319.8583555,194.3579402
n68,n2221222222,-183.9137669,182.8298906,-79.26050663,84.18569282,-268.2411679,231.6374132,-221.5220614,189.2937872,-224.3707441,208.2502969,-183.2339516,168.8820295
n69,n2222122222,-206.0036316,70.40145116,-130.0803401,82.94358727,-277.5818089,97.57668852,-236.2334464,101.4904657,-196.2579794,96.41373744,-170.0253792,94.55396965
n70,n2222212222,-250.1593399,63.6863026,-158.6313019,36.87334893,-345.7078225,123.5240168,-305.9616656,114.3108259,-272.9753456,67.13731713,-253.3157005,59.85653505
n72,n2222222212,-16.82491207,2.263495445,-6.711387634,1.903877258,-40.80976105,15.32197853,-19.53004265,19.9108462,-56.52586555,33.47245998,-45.36436907,32.78459168
n73,n2222222221,-89.67461014,27.38235092,-44.44165039,9.671478272,-213.5226135,129.1858573,-203.0054016,128.7902703,-124.7929433,29.12934985,-111.2837067,26.57437246
n83,n1100212201,-9.144641876,1.149048687,0.34543101,2.138814957,-41.76761322,11.86680706,-32.69294891,11.51970736,-133.8409271,34.3713405,-124.921225,34.26946144
